logmar,condition,normalization,pair,pair_label,mimicry_sym_mean,mimicry_sym_max,mimicry_sym_min,mimicry_ab,mimicry_ba
-0.25,stabilized,zscore,180-270,180↔270,0.05754580492100124,0.07974726542106587,0.0353443444209366,0.0353443444209366,0.07974726542106587
-0.2,real,raw,0-90,0↔90,0.4159442401762956,0.41639392042022905,0.41549455993236223,0.41549455993236223,0.41639392042022905
-0.2,real,raw,0-180,0↔180,0.6587487577394642,0.6840761284216347,0.6334213870572938,0.6334213870572938,0.6840761284216347
-0.2,real,raw,0-270,0↔270,0.6968981046623406,0.704549634446341,0.6892465748783401,0.704549634446341,0.6892465748783401
-0.2,real,raw,90-180,90↔180,0.26618978788321473,0.2698858362670282,0.26249373949940125,0.26249373949940125,0.2698858362670282
-0.2,real,raw,90-270,90↔270,0.35422544811053563,0.3660476522894146,0.34240324393165666,0.3660476522894146,0.34240324393165666
-0.2,real,raw,180-270,180↔270,0.027672461459639294,0.0443100856914027,0.01103483722787589,0.01103483722787589,0.0443100856914027
-0.2,real,zscore,0-90,0↔90,0.33427090767151424,0.363872177961007,0.3046696373820215,0.363872177961007,0.3046696373820215
-0.2,real,zscore,0-180,0↔180,0.5787537507638612,0.6101423721161889,0.5473651294115335,0.6101423721161889,0.5473651294115335
-0.2,real,zscore,0-270,0↔270,0.59213687062905,0.63538807359249,0.5488856676656099,0.63538807359249,0.5488856676656099
-0.2,real,zscore,90-180,90↔180,0.2789904209336078,0.31759368658107806,0.24038715528613752,0.24038715528613752,0.31759368658107806
-0.2,real,zscore,90-270,90↔270,0.25635954272274997,0.2644330213224529,0.24828606412304705,0.24828606412304705,0.2644330213224529
-0.2,real,zscore,180-270,180↔270,0.030917398172312267,0.034928172453484056,0.026906623891140482,0.034928172453484056,0.026906623891140482
-0.2,stabilized,raw,0-90,0↔90,0.40623964421540415,0.4106978127002745,0.40178147573053385,0.40178147573053385,0.4106978127002745
-0.2,stabilized,raw,0-180,0↔180,0.6350261695935862,0.6671897377519308,0.6028626014352414,0.6028626014352414,0.6671897377519308
-0.2,stabilized,raw,0-270,0↔270,0.5785657664700206,0.5817231108508333,0.5754084220892078,0.5817231108508333,0.5754084220892078
-0.2,stabilized,raw,90-180,90↔180,0.001874390750088347,0.0023928085356473908,0.001355972964529303,0.0023928085356473908,0.001355972964529303
-0.2,stabilized,raw,90-270,90↔270,0.11924706549738848,0.12343618302485049,0.11505794796992648,0.12343618302485049,0.11505794796992648
-0.2,stabilized,raw,180-270,180↔270,0.11203914103573173,0.1201887888138494,0.10388949325761408,0.10388949325761408,0.1201887888138494
-0.2,stabilized,zscore,0-90,0↔90,0.45695906653246954,0.4595322539184795,0.4543858791464595,0.4543858791464595,0.4595322539184795
-0.2,stabilized,zscore,0-180,0↔180,0.6081817597918635,0.623126932438458,0.5932365871452692,0.623126932438458,0.5932365871452692
-0.2,stabilized,zscore,0-270,0↔270,0.5798404651146665,0.587251831333872,0.572429098895461,0.587251831333872,0.572429098895461
-0.2,stabilized,zscore,90-180,90↔180,0.02861045546808038,0.03206666752743627,0.025154243408724488,0.025154243408724488,0.03206666752743627
-0.2,stabilized,zscore,90-270,90↔270,0.07005420682059564,0.07870527734397692,0.06140313629721437,0.07870527734397692,0.06140313629721437
-0.2,stabilized,zscore,180-270,180↔270,0.03366501862892293,0.03546625521692509,0.031863782040920774,0.031863782040920774,0.03546625521692509
