trial_id,response_cache_path,prior_family,prior_scale,lag_model,lags,n_lags,n_candidates,n_trajectories,n_timebins,basis_dim,ridge,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1,median_coef_s3_over_s1
7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,axis_edge_parallel,1.0,lag0_1,"0,1",2,4,16,40,10,0.01,-0.011851689565018309,-0.009446412460046405,0.004529378320040467,0.24124750113515753,4.640171736217647e-07
7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,axis_edge_parallel,1.0,lag0_1_2,"0,1,2",3,4,16,40,10,0.01,-0.02187457812261351,-0.019175267102135574,0.006453770753326177,0.36508798163931355,0.13718591678634628
7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,axis_edge_parallel,1.0,lag0_1_2_4,"0,1,2,4",4,4,16,40,10,0.01,-0.05514762779621596,-0.053015347730193896,0.010358032243755255,0.654329455772904,0.2729942792708567
7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,axis_edge_parallel,1.0,lag0_1_2_4_8,"0,1,2,4,8",5,4,16,40,10,0.01,-0.14358490633034882,-0.13479745415017863,0.01983912955297598,0.49039314035123216,0.3124826827006471
7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,axis_edge_orthogonal,1.0,instant,0,1,4,16,40,10,0.01,-0.004899077135179897,-0.004201912007496755,0.003852927374482229,7.601344453300242e-07,
7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,axis_edge_orthogonal,1.0,lag0_1,"0,1",2,4,16,40,10,0.01,-0.008818405376873728,-0.008658936587479849,0.0051481441205454,0.3824101254947224,3.485133326495285e-07
7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,axis_edge_orthogonal,1.0,lag0_1_2,"0,1,2",3,4,16,40,10,0.01,-0.016104898870305806,-0.016237344641447216,0.006328228768374272,0.5148872616539422,0.1730415544469393
7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,axis_edge_orthogonal,1.0,lag0_1_2_4,"0,1,2,4",4,4,16,40,10,0.01,-0.03936451252948653,-0.045396015094154474,0.00978754218452188,0.5572382288525677,0.4060172105895508
7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,axis_edge_orthogonal,1.0,lag0_1_2_4_8,"0,1,2,4,8",5,4,16,40,10,0.01,-0.09970210219251374,-0.10360637348707202,0.0207730497125585,0.2558906418651541,0.15554565210950644
8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,instant,0,1,4,16,40,10,0.01,-0.001378608103074802,-8.664362549143378e-05,0.0017568521588755825,1.115060858569544e-06,
8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,lag0_1,"0,1",2,4,16,40,10,0.01,-0.0039774342907544225,-0.0021339767745837124,0.002538848346755662,0.3331850564312311,3.7386713839807366e-07
8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,lag0_1_2,"0,1,2",3,4,16,40,10,0.01,-0.008324706411002414,-0.006433643858439919,0.004411643791347009,0.18930231211380394,0.078414902806653
8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,lag0_1_2_4,"0,1,2,4",4,4,16,40,10,0.01,-0.01847968864475863,-0.018189634621288864,0.00987932857488763,0.22835331983526827,0.1092872392081636
8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,lag0_1_2_4_8,"0,1,2,4,8",5,4,16,40,10,0.01,-0.06479465458516148,-0.059672302495418106,0.011975839091344392,0.45798209457164474,0.19930185912230705
8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,instant,0,1,4,16,40,10,0.01,-0.000545190927625866,-0.0009780651548767505,0.0010404548282821613,2.004488200415646e-06,
8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,lag0_1,"0,1",2,4,16,40,10,0.01,-0.00232264801792903,-0.0030235824871786,0.0015693337636206728,0.29791140523346227,1.0544648600142084e-06
8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,lag0_1_2,"0,1,2",3,4,16,40,10,0.01,-0.005313813891275165,-0.005716777637660098,0.002920482166941407,0.1802298735047594,0.09731950513453072
8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,lag0_1_2_4,"0,1,2,4",4,4,16,40,10,0.01,-0.013984473021238675,-0.015023667236705451,0.0067361650003752715,0.18535494686188683,0.11300681438496735
8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,lag0_1_2_4_8,"0,1,2,4,8",5,4,16,40,10,0.01,-0.04946942393334813,-0.04942518143330388,0.007399440845478167,0.3182267263318106,0.19018440464690495
9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,instant,0,1,4,16,40,10,0.01,-0.0006991286166950772,-0.006403661025320639,0.00578016193179251,2.028632170025875e-06,
9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,lag0_1,"0,1",2,4,16,40,10,0.01,-0.013677468249711389,-0.025393873005643774,0.013855477436232694,0.06503467101978894,1.9510536535920007e-07
9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,lag0_1_2,"0,1,2",3,4,16,40,10,0.01,-0.03336729366424157,-0.05211860417639824,0.021102160785379104,0.12833550185992187,0.03588118042168992
9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,lag0_1_2_4,"0,1,2,4",4,4,16,40,10,0.01,-0.1013123736381458,-0.1400589743497863,0.033614583778951046,0.27861048673117705,0.07251856214145133
