table_index,trial_id,prior_scale,prior_family,image_correct,feature_cosine,candidate_posterior_true_mass,residual_variance,B_train_r2_energy,B_singular1,B_singular2_fraction,B_singular3_fraction
78,39,0.5,axis_edge_parallel,True,0.9278630548387812,0.5483974369242794,1.2459714203168805e-05,0.3669674332860018,1.265124426029664,0.013573259121316393,2.674556037426664e-10
79,39,0.5,axis_edge_orthogonal,True,0.9270372244914958,0.5463368993592239,3.65525879789406e-05,0.3135658048226388,1.9250188600353184,0.0037365231222542057,2.433680587844133e-10
80,40,1.0,axis_edge_parallel,True,0.922515153698418,0.5174405600653408,1.1445748934531728e-05,0.2277257455319886,0.4269661924099671,0.02675334566024916,4.0568987740492003e-10
81,40,1.0,axis_edge_orthogonal,True,0.9151105387232148,0.4955960453497842,2.8248994782218546e-05,0.2007366055178345,0.6177632427790085,0.01796193481928227,2.7623938457149275e-10
82,41,2.0,axis_edge_parallel,True,0.9429366117450068,0.5743659421436125,2.0883355364637517e-05,0.3369876220340615,0.6563257319010537,0.00722038863136899,5.225578952923342e-10
83,41,2.0,axis_edge_orthogonal,True,0.9413311130512502,0.5594925492196551,5.151903289507989e-05,0.2852416032201732,0.9096487586930354,0.01816147412265785,3.2211692524476995e-10
84,42,0.5,axis_edge_parallel,True,0.9356594614086802,0.5858222242078088,3.440756070144848e-05,0.3170590813279242,1.273647482535167,0.010036090819231264,5.559421091371129e-09
85,42,0.5,axis_edge_orthogonal,True,0.944224081251227,0.6141951134927174,5.898077984189235e-05,0.2793707483256331,1.5259770008325673,0.005995376557236739,5.618123025037084e-09
86,43,1.0,axis_edge_parallel,True,0.9275963395075,0.5742236130268635,3.021923354406886e-05,0.2717868288685612,0.7150972614709133,0.02220952872700408,1.3371528516287246e-09
87,43,1.0,axis_edge_orthogonal,True,0.9492927229008978,0.6376776342112214,4.578594252542555e-05,0.2427733869279312,0.8102118346670626,0.027327996882257975,1.5955123506969296e-09
88,44,2.0,axis_edge_parallel,True,0.92896767893904,0.5993463193272035,4.575092330213828e-05,0.2373930104384831,0.712346639950412,0.018736982705707193,2.3746377833297854e-09
89,44,2.0,axis_edge_orthogonal,True,0.9578323216269023,0.6863098398202303,8.031040717426878e-05,0.2164635628430457,0.887305838004807,0.016077072775644713,1.769540701041963e-09
90,45,0.5,axis_edge_parallel,True,0.8443757478446113,0.3006946341779501,2.7961043382326752e-05,0.2435302321865571,1.5323452176673362,0.007045226391116516,3.7001752393573574e-09
91,45,0.5,axis_edge_orthogonal,True,0.8459588523627761,0.3050418376503897,4.268300882205396e-05,0.2136415461422537,1.7393420785475486,0.006617338418200497,4.590637709115966e-09
92,46,1.0,axis_edge_parallel,False,0.8337316425296482,0.2739742510996849,3.0064727012818496e-05,0.1671622423401516,0.5649722343964138,0.02101983684109713,5.912467892343145e-09
93,46,1.0,axis_edge_orthogonal,True,0.853507541462655,0.3262590847702756,4.338034837993144e-05,0.170414642423336,0.6827651869980081,0.01136487488036079,5.679885925712248e-09
94,47,2.0,axis_edge_parallel,True,0.885523477340535,0.3910273817563475,5.382039043882591e-05,0.2226774768811547,0.7577443024906914,0.005217222269861363,1.850554592247146e-08
95,47,2.0,axis_edge_orthogonal,True,0.8814264895047855,0.3806785763961074,7.306024815613472e-05,0.2161350467552972,0.8660538171829485,0.0035862355765071395,1.2404207312678897e-08
96,48,0.5,axis_edge_parallel,True,0.8988488037282871,0.3958280144863594,1.2972869455701944e-05,0.4295281379734367,1.4493805459165652,0.01302737601802552,1.3322131556381287e-10
97,48,0.5,axis_edge_orthogonal,True,0.8985136776152318,0.3956192376212918,3.564300664785944e-05,0.3498877643626465,2.016254057801386,0.00762215114746282,1.3546893850307858e-10
98,49,1.0,axis_edge_parallel,True,0.8757517641178978,0.3465246256189544,2.6126451595181785e-05,0.175376665411169,0.5364504306302678,0.008129028992921927,8.4869118894833e-11
99,49,1.0,axis_edge_orthogonal,True,0.862958986938107,0.3066333276154723,5.571984180233228e-05,0.145597522403151,0.6925587599339038,0.025933422759581295,6.834637042185705e-11
100,50,2.0,axis_edge_parallel,True,0.886772647936688,0.4140223614822892,3.5970031097716066e-05,0.09415918324277,0.3283555332831112,0.015621238084484639,6.57995323092069e-11
101,50,2.0,axis_edge_orthogonal,False,0.8395255468983257,0.2512607452038656,7.456105919487542e-05,0.0838568427537174,0.4420559540670392,0.020087946980451306,1.0011855540539406e-10
102,51,0.5,axis_edge_parallel,True,0.9211146114245712,0.3605108386854601,2.258811433870948e-05,0.2969696287305263,0.921604190393657,0.014403642306723675,5.534695377827679e-09
103,51,0.5,axis_edge_orthogonal,True,0.9228816044600324,0.3660183220607036,3.38043746175578e-05,0.2502200650399599,1.000924016804942,0.017523515532471733,4.167140121710533e-09
104,52,1.0,axis_edge_parallel,True,0.9216643754745288,0.3650149085115549,2.2271358804140696e-05,0.1756368129210939,0.4847645676027518,0.016369398366352785,1.906669528861201e-09
105,52,1.0,axis_edge_orthogonal,True,0.9139128088168642,0.3539409465074769,2.8984905293456355e-05,0.1499023386400252,0.4974668666265268,0.047024379062823994,2.5444072798909046e-09
106,53,2.0,axis_edge_parallel,True,0.90304504545794,0.3570198200405783,4.391978295581909e-05,0.1191549716961943,0.3767506587080596,0.01973722251418754,3.996534553486997e-09
107,53,2.0,axis_edge_orthogonal,True,0.8672171484603722,0.2826008144234608,5.7996726598457344e-05,0.1016497984428259,0.3944187717082112,0.034959621381157095,3.354783959843236e-09
108,54,0.5,axis_edge_parallel,True,0.9706448102930308,0.3621213881682315,3.4178145545414564e-05,0.3684429878105294,1.4648430450490526,0.016842831324398864,1.2288232251409424e-09
109,54,0.5,axis_edge_orthogonal,True,0.9717880450431936,0.3667798691614947,5.2200280511841885e-05,0.3335585820500009,1.6700944125929225,0.007277116031251791,1.8178609247087653e-09
110,55,1.0,axis_edge_parallel,True,0.980609493163698,0.3926786164863275,5.496457419262362e-05,0.2173825506920843,0.7470736963819737,0.013858353707552798,7.894909177699829e-10
111,55,1.0,axis_edge_orthogonal,True,0.9775389313509844,0.3862810226783337,7.04719924227403e-05,0.2000909232147578,0.7963988875587489,0.020433207255475823,7.09231117356179e-10
112,56,2.0,axis_edge_parallel,True,0.9832608718917578,0.4048004986699425,6.471134449266535e-05,0.3311191121281612,1.070087787151644,0.020928038396340644,8.176206118330838e-10
113,56,2.0,axis_edge_orthogonal,True,0.99172340506683,0.4584371392479482,8.609698537033879e-05,0.3127931054318409,1.1751975922425686,0.016953990946180306,1.172620711413261e-09
114,57,0.5,axis_edge_parallel,True,0.9756176704118288,0.365931268950941,4.737499778753172e-05,0.498999549356253,2.0747387970971944,0.00829152290331177,1.4139434471580595e-09
115,57,0.5,axis_edge_orthogonal,False,0.9776126377586036,0.3684980698540624,7.899772068448151e-05,0.4471821083114011,2.4040704307141545,0.004449758958239998,1.5898435897425494e-09
116,58,1.0,axis_edge_parallel,False,0.9896884601685786,0.4029617001520941,3.740993046877128e-05,0.206585195693292,0.7059602335845722,0.016148149182033517,1.5297947899379358e-09
117,58,1.0,axis_edge_orthogonal,False,0.9877633581426876,0.3919349925277928,4.909185037409668e-05,0.1825138450583161,0.7351729343470731,0.030793653082269282,2.0871494329022102e-09
118,59,2.0,axis_edge_parallel,False,0.9951986519410088,0.412400996850696,6.962023083297631e-05,0.3191321191724594,1.0191499774971564,0.008443674921090119,1.3192178500126088e-09
119,59,2.0,axis_edge_orthogonal,False,0.9934756424295552,0.3736241730096102,8.458741996969748e-05,0.3132812467156168,1.09813546691863,0.019816216229089106,1.8268404745038407e-09
120,60,0.5,axis_edge_parallel,True,0.8032367317427723,0.3559221528744434,4.209299599097242e-05,0.1748629084318532,1.3696354194384537,0.01026046302655967,6.478449403416954e-09
121,60,0.5,axis_edge_orthogonal,True,0.81380742422399,0.3726085052561558,3.943672967555774e-05,0.1776159815611057,1.3266296672591378,0.02416000469424722,4.650957433547369e-09
122,61,1.0,axis_edge_parallel,True,0.8239199483623841,0.3688326659623447,7.426520564016196e-05,0.198777690054463,0.9451364740387552,0.02361073641385388,2.454236204667621e-09
123,61,1.0,axis_edge_orthogonal,True,0.8497348160096048,0.4176099836806736,6.832914800136274e-05,0.2020706926106119,0.9130015880801136,0.018629274565550965,3.1198062062535068e-09
124,62,2.0,axis_edge_parallel,True,0.8321261918751995,0.3539638271496969,0.0001013484478095,0.3087052625426538,1.3418701329679463,0.013269083228431781,2.624522336617944e-09
125,62,2.0,axis_edge_orthogonal,True,0.8338329360522734,0.3694450432871845,0.0001032972386851,0.3085740207821213,1.3509671248875863,0.017801153241484978,2.677659197142022e-09
126,63,0.5,axis_edge_parallel,True,0.8505525663595561,0.4115864747679904,1.8957557339087413e-05,0.1369263642491548,0.5432068955549213,0.04280934004141495,5.018513248948545e-09
127,63,0.5,axis_edge_orthogonal,True,0.8505030420513326,0.4110381273007572,2.8184410701938942e-05,0.1418108018473538,0.6804838504111901,0.030789608010868618,4.493395436338713e-09
128,64,1.0,axis_edge_parallel,True,0.8440463032527467,0.4041262597119556,1.7989526386221517e-05,0.2530588343447844,0.5560762094517989,0.009163099005824078,1.3281744755738805e-09
129,64,1.0,axis_edge_orthogonal,True,0.8383876821902178,0.3939713403933476,2.7287629672870348e-05,0.2387385047560581,0.6542313558949033,0.025037015795352384,1.2710897843654315e-09
130,65,2.0,axis_edge_parallel,True,0.8796667754716483,0.48481324736917,2.9530529858819865e-05,0.257818230682315,0.5895138339131628,0.014645752340132863,2.8003952039498293e-09
131,65,2.0,axis_edge_orthogonal,True,0.8476194530138744,0.4393626959272174,4.458642171290193e-05,0.2293893248490939,0.661981152535625,0.026520447637977444,6.17845358667689e-09
132,66,0.5,axis_edge_parallel,True,0.9973375646968344,0.9307056032309756,1.311726735557806e-05,0.2025046049017625,0.5217146499428348,0.02155622379723143,4.06137648449078e-09
133,66,0.5,axis_edge_orthogonal,True,0.9973217696584948,0.9308095082533144,3.0890245407598964e-05,0.1723234035217318,0.7191686277081716,0.03256487780129692,6.333978674479058e-09
