latent,feature_space_mode,contrast,lhs,rhs,observation_scale,prior_family,mean_feature_cosine_delta,ci_low,ci_high,fraction_positive,n
pyramid_local_field,fold_zscore_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,2
pyramid_local_field,fold_zscore_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,2
pyramid_local_field,global_centered_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,2
pyramid_local_field,fold_centered_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,1.0,axis_pair,0.0,0.0,0.0,0.0,1
pyramid_local_field,fold_zscore_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,1.0,axis_pair,0.0,0.0,0.0,0.0,1
pyramid_local_field,fold_zscore_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,1.0,axis_pair,0.0,0.0,0.0,0.0,1
pyramid_local_field,global_centered_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,1.0,axis_pair,0.0,0.0,0.0,0.0,1
pyramid_local_field,fold_centered_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,2.0,axis_pair,0.0,0.0,0.0,0.0,1
pyramid_local_field,fold_zscore_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,2.0,axis_pair,0.0,0.0,0.0,0.0,1
pyramid_local_field,fold_zscore_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,2.0,axis_pair,0.0,0.0,0.0,0.0,1
pyramid_local_field,global_centered_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,2.0,axis_pair,0.0,0.0,0.0,0.0,1
pyramid_local_field,fold_centered_whitened_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,2
pyramid_local_field,fold_zscore_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,2
pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,2
pyramid_local_field,global_centered_whitened_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,2
pyramid_local_field,fold_centered_whitened_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,1.0,axis_pair,0.0,0.0,0.0,0.0,1
pyramid_local_field,fold_zscore_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,1.0,axis_pair,0.0,0.0,0.0,0.0,1
pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,1.0,axis_pair,0.0,0.0,0.0,0.0,1
pyramid_local_field,global_centered_whitened_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,1.0,axis_pair,0.0,0.0,0.0,0.0,1
pyramid_local_field,fold_centered_whitened_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,2.0,axis_pair,0.0,0.0,0.0,0.0,1
