table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,observation_scale,axis_catalog_mode,n_candidates,n_prior_trajectories,n_timebins,n_units,true_candidate_index,true_source_row,true_candidate_id,decoder_mode,observer_mode,observer_label,train_bank,test_input,latent,feature_space_mode,feature_fit_scope,feature_preprocessing,feature_whitened,feature_weighted,feature_variance_fraction,fold,n_train_samples,n_fit_sources,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm
154,77,response_tables/trial_00077_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,2822,source_row:2822,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.2917923211893124,-0.2917923211893124,0.5401780458231457,3.055708473997151,0.32119844342278003,2.7555457976012687,2.4749458735574335
155,77,response_tables/trial_00077_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,2822,source_row:2822,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.2917923211893124,-0.2917923211893124,0.5401780458231457,3.055708473997151,0.32119844342278003,2.7555457976012687,2.4749458735574335
168,84,response_tables/trial_00084_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,3076,source_row:3076,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.24728653199447878,-0.24728653199447878,0.4972791288546894,2.8130355532455185,0.20023605189615812,2.841184441104203,0.9744883755127787
169,84,response_tables/trial_00084_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,3076,source_row:3076,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.24728653199447878,-0.24728653199447878,0.4972791288546894,2.8130355532455185,0.20023605189615812,2.841184441104203,0.9744883755127787
170,85,response_tables/trial_00085_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,3076,source_row:3076,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.25706959780818445,-0.25706959780818445,0.5070203130133787,2.8681400122486878,0.22194342176382775,2.841184441104203,1.3732342069588197
171,85,response_tables/trial_00085_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,3076,source_row:3076,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.25706959780818445,-0.25706959780818445,0.5070203130133787,2.8681400122486878,0.22194342176382775,2.841184441104203,1.3732342069588197
172,86,response_tables/trial_00086_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,3076,source_row:3076,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.2748267180499786,-0.2748267180499786,0.5242391801935244,2.96554463422814,0.25758831206937527,2.841184441104203,1.853345545128321
173,86,response_tables/trial_00086_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,3076,source_row:3076,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.2748267180499786,-0.2748267180499786,0.5242391801935244,2.96554463422814,0.25758831206937527,2.841184441104203,1.853345545128321
174,87,response_tables/trial_00087_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,3099,source_row:3099,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.16996425130615705,-0.16996425130615705,0.4122672086234328,2.3321355110278272,0.27320070478561337,2.424047857082895,0.7000032391172905
175,87,response_tables/trial_00087_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,3099,source_row:3099,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.16996425130615705,-0.16996425130615705,0.4122672086234328,2.3321355110278272,0.27320070478561337,2.424047857082895,0.7000032391172905
