decoder_mode,latent,feature_space_mode,contrast,lhs,rhs,observation_scale,prior_family,mean_feature_cosine_delta,ci_low,ci_high,fraction_positive,n
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,1.0,axis_pair,-1.6805133673525319e-18,-4.391018798566293e-18,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,2.0,axis_pair,0.0,0.0,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_zscore_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,2.0,axis_pair,-2.981555974335137e-19,-8.944667923005412e-19,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,2.0,axis_pair,-2.6020852139652106e-18,-7.806255641895632e-18,0.0,0.0,128
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,known_eye_parallel_minus_orthogonal,known_eye:axis_edge_parallel,known_eye:axis_edge_orthogonal,2.0,axis_pair,3.7947076036992655e-19,-1.951563910473908e-18,3.0899761915836876e-18,0.0078125,128
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_zscore_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,128
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,0.5,axis_pair,0.0,0.0,0.0,0.0,128
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,1.0,axis_pair,6.505213034913027e-19,0.0,1.951563910473908e-18,0.0078125,128
linear_gaussian,pyramid_local_field,fold_zscore_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,1.0,axis_pair,5.421010862427522e-19,0.0,1.5178830414797062e-18,0.015625,128
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,1.0,axis_pair,2.168404344971009e-19,-1.951563910473908e-18,2.6020852139652106e-18,0.0078125,128
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,hidden_eye_tau_marginal_parallel_minus_orthogonal,hidden_eye_tau_marginal:axis_edge_parallel,hidden_eye_tau_marginal:axis_edge_orthogonal,1.0,axis_pair,-2.168404344971009e-19,-3.2526065174565133e-18,2.6020852139652106e-18,0.0078125,128
